date_releve,code_materiau,libelle,unite,prix,indice_base100,source,horodatage_ingestion
2019-01-01,ACIER_T,Acier à béton (ferraillage HA),tonne,736.0,100.0,eurostat,2026-09-11T20:38:14
2019-02-01,ACIER_T,Acier à béton (ferraillage HA),tonne,727.0,98.81,eurostat,2026-09-11T20:38:14
2019-03-01,ACIER_T,Acier à béton (ferraillage HA),tonne,729.0,99.04,eurostat,2026-09-11T20:38:14
2019-04-01,ACIER_T,Acier à béton (ferraillage HA),tonne,733.0,99.52,eurostat,2026-09-11T20:38:14
2019-05-01,ACIER_T,Acier à béton (ferraillage HA),tonne,726.0,98.57,eurostat,2026-09-11T20:38:14
2019-06-01,ACIER_T,Acier à béton (ferraillage HA),tonne,738.0,100.24,eurostat,2026-09-11T20:38:14
2019-07-01,ACIER_T,Acier à béton (ferraillage HA),tonne,712.0,96.77,eurostat,2026-09-11T20:38:14
2019-08-01,ACIER_T,Acier à béton (ferraillage HA),tonne,712.0,96.65,eurostat,2026-09-11T20:38:14
2019-09-01,ACIER_T,Acier à béton (ferraillage HA),tonne,709.0,96.3,eurostat,2026-09-11T20:38:14
2019-10-01,ACIER_T,Acier à béton (ferraillage HA),tonne,697.0,94.62,eurostat,2026-09-11T20:38:14
2019-11-01,ACIER_T,Acier à béton (ferraillage HA),tonne,686.0,93.19,eurostat,2026-09-11T20:38:14
2019-12-01,ACIER_T,Acier à béton (ferraillage HA),tonne,683.0,92.83,eurostat,2026-09-11T20:38:14
2020-01-01,ACIER_T,Acier à béton (ferraillage HA),tonne,684.0,92.95,eurostat,2026-09-11T20:38:14
2020-02-01,ACIER_T,Acier à béton (ferraillage HA),tonne,670.0,91.04,eurostat,2026-09-11T20:38:14
2020-03-01,ACIER_T,Acier à béton (ferraillage HA),tonne,677.0,92.0,eurostat,2026-09-11T20:38:14
2020-04-01,ACIER_T,Acier à béton (ferraillage HA),tonne,672.0,91.28,eurostat,2026-09-11T20:38:14
2020-05-01,ACIER_T,Acier à béton (ferraillage HA),tonne,682.0,92.59,eurostat,2026-09-11T20:38:14
2020-06-01,ACIER_T,Acier à béton (ferraillage HA),tonne,670.0,91.04,eurostat,2026-09-11T20:38:14
2020-07-01,ACIER_T,Acier à béton (ferraillage HA),tonne,656.0,89.13,eurostat,2026-09-11T20:38:14
2020-08-01,ACIER_T,Acier à béton (ferraillage HA),tonne,657.0,89.25,eurostat,2026-09-11T20:38:14
2020-09-01,ACIER_T,Acier à béton (ferraillage HA),tonne,659.0,89.49,eurostat,2026-09-11T20:38:14
2020-10-01,ACIER_T,Acier à béton (ferraillage HA),tonne,663.0,90.08,eurostat,2026-09-11T20:38:14
2020-11-01,ACIER_T,Acier à béton (ferraillage HA),tonne,667.0,90.56,eurostat,2026-09-11T20:38:14
2020-12-01,ACIER_T,Acier à béton (ferraillage HA),tonne,671.0,91.16,eurostat,2026-09-11T20:38:14
2021-01-01,ACIER_T,Acier à béton (ferraillage HA),tonne,716.0,97.25,eurostat,2026-09-11T20:38:14
2021-02-01,ACIER_T,Acier à béton (ferraillage HA),tonne,751.0,102.03,eurostat,2026-09-11T20:38:14
2021-03-01,ACIER_T,Acier à béton (ferraillage HA),tonne,775.0,105.26,eurostat,2026-09-11T20:38:14
2021-04-01,ACIER_T,Acier à béton (ferraillage HA),tonne,800.0,108.6,eurostat,2026-09-11T20:38:14
2021-05-01,ACIER_T,Acier à béton (ferraillage HA),tonne,817.0,110.99,eurostat,2026-09-11T20:38:14
2021-06-01,ACIER_T,Acier à béton (ferraillage HA),tonne,866.0,117.68,eurostat,2026-09-11T20:38:14
2021-07-01,ACIER_T,Acier à béton (ferraillage HA),tonne,914.0,124.13,eurostat,2026-09-11T20:38:14
2021-08-01,ACIER_T,Acier à béton (ferraillage HA),tonne,949.0,128.91,eurostat,2026-09-11T20:38:14
2021-09-01,ACIER_T,Acier à béton (ferraillage HA),tonne,970.0,131.78,eurostat,2026-09-11T20:38:14
2021-10-01,ACIER_T,Acier à béton (ferraillage HA),tonne,991.0,134.65,eurostat,2026-09-11T20:38:14
2021-11-01,ACIER_T,Acier à béton (ferraillage HA),tonne,1004.0,136.32,eurostat,2026-09-11T20:38:14
2021-12-01,ACIER_T,Acier à béton (ferraillage HA),tonne,1002.0,136.08,eurostat,2026-09-11T20:38:14
2022-01-01,ACIER_T,Acier à béton (ferraillage HA),tonne,1114.0,151.25,eurostat,2026-09-11T20:38:14
2022-02-01,ACIER_T,Acier à béton (ferraillage HA),tonne,1114.0,151.25,eurostat,2026-09-11T20:38:14
2022-03-01,ACIER_T,Acier à béton (ferraillage HA),tonne,1156.0,156.99,eurostat,2026-09-11T20:38:14
2022-04-01,ACIER_T,Acier à béton (ferraillage HA),tonne,1242.0,168.7,eurostat,2026-09-11T20:38:14
2022-05-01,ACIER_T,Acier à béton (ferraillage HA),tonne,1281.0,173.95,eurostat,2026-09-11T20:38:14
2022-06-01,ACIER_T,Acier à béton (ferraillage HA),tonne,1285.0,174.55,eurostat,2026-09-11T20:38:14
2022-07-01,ACIER_T,Acier à béton (ferraillage HA),tonne,1256.0,170.61,eurostat,2026-09-11T20:38:14
2022-08-01,ACIER_T,Acier à béton (ferraillage HA),tonne,1208.0,164.04,eurostat,2026-09-11T20:38:14
2022-09-01,ACIER_T,Acier à béton (ferraillage HA),tonne,1174.0,159.5,eurostat,2026-09-11T20:38:14
2022-10-01,ACIER_T,Acier à béton (ferraillage HA),tonne,1167.0,158.54,eurostat,2026-09-11T20:38:14
2022-11-01,ACIER_T,Acier à béton (ferraillage HA),tonne,1142.0,155.08,eurostat,2026-09-11T20:38:14
2022-12-01,ACIER_T,Acier à béton (ferraillage HA),tonne,1127.0,153.05,eurostat,2026-09-11T20:38:14
2023-01-01,ACIER_T,Acier à béton (ferraillage HA),tonne,1070.0,145.28,eurostat,2026-09-11T20:38:14
2023-02-01,ACIER_T,Acier à béton (ferraillage HA),tonne,1081.0,146.83,eurostat,2026-09-11T20:38:14
2023-03-01,ACIER_T,Acier à béton (ferraillage HA),tonne,1079.0,146.59,eurostat,2026-09-11T20:38:14
2023-04-01,ACIER_T,Acier à béton (ferraillage HA),tonne,1028.0,139.67,eurostat,2026-09-11T20:38:14
2023-05-01,ACIER_T,Acier à béton (ferraillage HA),tonne,1003.0,136.2,eurostat,2026-09-11T20:38:14
2023-06-01,ACIER_T,Acier à béton (ferraillage HA),tonne,1005.0,136.44,eurostat,2026-09-11T20:38:14
2023-07-01,ACIER_T,Acier à béton (ferraillage HA),tonne,983.0,133.45,eurostat,2026-09-11T20:38:14
2023-08-01,ACIER_T,Acier à béton (ferraillage HA),tonne,971.0,131.9,eurostat,2026-09-11T20:38:14
2023-09-01,ACIER_T,Acier à béton (ferraillage HA),tonne,955.0,129.75,eurostat,2026-09-11T20:38:14
2023-10-01,ACIER_T,Acier à béton (ferraillage HA),tonne,945.0,128.32,eurostat,2026-09-11T20:38:14
2023-11-01,ACIER_T,Acier à béton (ferraillage HA),tonne,938.0,127.36,eurostat,2026-09-11T20:38:14
2023-12-01,ACIER_T,Acier à béton (ferraillage HA),tonne,939.0,127.6,eurostat,2026-09-11T20:38:14
2024-01-01,ACIER_T,Acier à béton (ferraillage HA),tonne,915.0,124.25,eurostat,2026-09-11T20:38:14
